ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2016,"2016",0,"Total",94327,27515,"Census Tract 212.06, San Diego County, CA","14000US06073021206"
2016,"2016",0,"Total",82026,13959.000000000002,"Census Tract 213.02, San Diego County, CA","14000US06073021302"
2016,"2016",0,"Total",118040,16734,"Census Tract 213.03, San Diego County, CA","14000US06073021303"
2016,"2016",0,"Total",118571,11640,"Census Tract 213.04, San Diego County, CA","14000US06073021304"
2016,"2016",0,"Total",57371,10810,"Census Tract 214, San Diego County, CA","14000US06073021400"
2016,"2016",0,"Total",178984,19436,"Census Tract 215, San Diego County, CA","14000US06073021500"
2016,"2016",0,"Total",70652,12551,"Census Tract 216, San Diego County, CA","14000US06073021600"
2016,"2016",0,"Total",111250,23257,"Census Tract 218, San Diego County, CA","14000US06073021800"
2016,"2016",0,"Total",31667,9994,"Census Tract 219, San Diego County, CA","14000US06073021900"
2016,"2016",0,"Total",45800,5962,"Census Tract 220, San Diego County, CA","14000US06073022000"
2016,"2016",0,"Total",95882,8357,"Census Tract 221, San Diego County, CA","14000US06073022100"
2015,"2015",0,"Total",125370,20257,"Census Tract 1, San Diego County, CA","14000US06073000100"
2015,"2015",0,"Total",100436,19534,"Census Tract 2.01, San Diego County, CA","14000US06073000201"
2015,"2015",0,"Total",60929,18739,"Census Tract 2.02, San Diego County, CA","14000US06073000202"
2015,"2015",0,"Total",72979,18137,"Census Tract 3, San Diego County, CA","14000US06073000300"
2015,"2015",0,"Total",68099,6673,"Census Tract 4, San Diego County, CA","14000US06073000400"
2015,"2015",0,"Total",56750,6710,"Census Tract 5, San Diego County, CA","14000US06073000500"
2015,"2015",0,"Total",55925,6483,"Census Tract 6, San Diego County, CA","14000US06073000600"
2015,"2015",0,"Total",72177,8863,"Census Tract 7, San Diego County, CA","14000US06073000700"
2015,"2015",0,"Total",51164,11939,"Census Tract 8, San Diego County, CA","14000US06073000800"
2015,"2015",0,"Total",45377,6142,"Census Tract 9, San Diego County, CA","14000US06073000900"
2015,"2015",0,"Total",65863,6817,"Census Tract 10, San Diego County, CA","14000US06073001000"
2015,"2015",0,"Total",53167,6401,"Census Tract 11, San Diego County, CA","14000US06073001100"
2015,"2015",0,"Total",42379,6608,"Census Tract 12, San Diego County, CA","14000US06073001200"
2015,"2015",0,"Total",46161,4745,"Census Tract 13, San Diego County, CA","14000US06073001300"
2015,"2015",0,"Total",61164,14197,"Census Tract 14, San Diego County, CA","14000US06073001400"
2015,"2015",0,"Total",56760,6525,"Census Tract 15, San Diego County, CA","14000US06073001500"
2015,"2015",0,"Total",34151,7999.000000000001,"Census Tract 16, San Diego County, CA","14000US06073001600"
2015,"2015",0,"Total",45207,9235,"Census Tract 17, San Diego County, CA","14000US06073001700"
2015,"2015",0,"Total",41807,7480,"Census Tract 18, San Diego County, CA","14000US06073001800"
2015,"2015",0,"Total",85769,9422,"Census Tract 19, San Diego County, CA","14000US06073001900"
2015,"2015",0,"Total",121518,19707,"Census Tract 20.01, San Diego County, CA","14000US06073002001"
2015,"2015",0,"Total",99236,24009,"Census Tract 20.02, San Diego County, CA","14000US06073002002"
2015,"2015",0,"Total",50465,5172,"Census Tract 21, San Diego County, CA","14000US06073002100"
2015,"2015",0,"Total",29086,3979,"Census Tract 22.01, San Diego County, CA","14000US06073002201"
2015,"2015",0,"Total",22713,5514,"Census Tract 22.02, San Diego County, CA","14000US06073002202"
2015,"2015",0,"Total",28963,2773,"Census Tract 23.01, San Diego County, CA","14000US06073002301"
2015,"2015",0,"Total",22951,3954,"Census Tract 23.02, San Diego County, CA","14000US06073002302"
2015,"2015",0,"Total",41284,6474,"Census Tract 24.01, San Diego County, CA","14000US06073002401"
2015,"2015",0,"Total",30635,3483,"Census Tract 24.02, San Diego County, CA","14000US06073002402"
2015,"2015",0,"Total",44938,9473,"Census Tract 25.01, San Diego County, CA","14000US06073002501"
2015,"2015",0,"Total",52382,5515,"Census Tract 25.02, San Diego County, CA","14000US06073002502"
2015,"2015",0,"Total",28891,3223,"Census Tract 26.01, San Diego County, CA","14000US06073002601"
2015,"2015",0,"Total",42649,6398,"Census Tract 26.02, San Diego County, CA","14000US06073002602"
2015,"2015",0,"Total",53167,9664,"Census Tract 27.02, San Diego County, CA","14000US06073002702"
2015,"2015",0,"Total",51704,6805.000000000001,"Census Tract 27.03, San Diego County, CA","14000US06073002703"
2015,"2015",0,"Total",53333,16150,"Census Tract 27.05, San Diego County, CA","14000US06073002705"
2015,"2015",0,"Total",30915,4017.0000000000005,"Census Tract 27.07, San Diego County, CA","14000US06073002707"
2015,"2015",0,"Total",25721,4119,"Census Tract 27.08, San Diego County, CA","14000US06073002708"
2015,"2015",0,"Total",27165,9817,"Census Tract 27.09, San Diego County, CA","14000US06073002709"
2015,"2015",0,"Total",36832,5134,"Census Tract 27.10, San Diego County, CA","14000US06073002710"
2015,"2015",0,"Total",51481,9108,"Census Tract 27.11, San Diego County, CA","14000US06073002711"
2015,"2015",0,"Total",47261,5357,"Census Tract 27.12, San Diego County, CA","14000US06073002712"
2015,"2015",0,"Total",37788,15078,"Census Tract 28.01, San Diego County, CA","14000US06073002801"
2015,"2015",0,"Total",43314,6120,"Census Tract 28.03, San Diego County, CA","14000US06073002803"
2015,"2015",0,"Total",64191,7760.000000000001,"Census Tract 28.04, San Diego County, CA","14000US06073002804"
2015,"2015",0,"Total",55568,13380,"Census Tract 29.02, San Diego County, CA","14000US06073002902"
2015,"2015",0,"Total",66797,21645,"Census Tract 29.03, San Diego County, CA","14000US06073002903"
2015,"2015",0,"Total",32961,6110,"Census Tract 29.04, San Diego County, CA","14000US06073002904"
2015,"2015",0,"Total",51618,8121.000000000001,"Census Tract 29.05, San Diego County, CA","14000US06073002905"
2015,"2015",0,"Total",60474,8406,"Census Tract 30.01, San Diego County, CA","14000US06073003001"
2015,"2015",0,"Total",60491,4119,"Census Tract 30.03, San Diego County, CA","14000US06073003003"
2015,"2015",0,"Total",44844,8365,"Census Tract 30.04, San Diego County, CA","14000US06073003004"
2015,"2015",0,"Total",53125,11424,"Census Tract 31.01, San Diego County, CA","14000US06073003101"
2015,"2015",0,"Total",55234,6937.999999999999,"Census Tract 31.03, San Diego County, CA","14000US06073003103"
2015,"2015",0,"Total",60156,7533.000000000001,"Census Tract 31.05, San Diego County, CA","14000US06073003105"
2015,"2015",0,"Total",58194,10542,"Census Tract 31.07, San Diego County, CA","14000US06073003107"
2015,"2015",0,"Total",57083,10042,"Census Tract 31.08, San Diego County, CA","14000US06073003108"
2015,"2015",0,"Total",85573,11801,"Census Tract 31.09, San Diego County, CA","14000US06073003109"
2015,"2015",0,"Total",36750,5496,"Census Tract 31.11, San Diego County, CA","14000US06073003111"
2015,"2015",0,"Total",53531,20182,"Census Tract 31.12, San Diego County, CA","14000US06073003112"
2015,"2015",0,"Total",76823,12592,"Census Tract 31.13, San Diego County, CA","14000US06073003113"
2015,"2015",0,"Total",96319,15430.000000000002,"Census Tract 31.14, San Diego County, CA","14000US06073003114"
2015,"2015",0,"Total",47888,5901,"Census Tract 31.15, San Diego County, CA","14000US06073003115"
2015,"2015",0,"Total",52434,4375,"Census Tract 32.01, San Diego County, CA","14000US06073003201"
2015,"2015",0,"Total",49779,6688,"Census Tract 32.02, San Diego County, CA","14000US06073003202"
2015,"2015",0,"Total",83611,19062,"Census Tract 32.04, San Diego County, CA","14000US06073003204"
2015,"2015",0,"Total",67230,12598,"Census Tract 32.07, San Diego County, CA","14000US06073003207"
2015,"2015",0,"Total",47939,8796,"Census Tract 32.08, San Diego County, CA","14000US06073003208"
2015,"2015",0,"Total",53073,3619,"Census Tract 32.09, San Diego County, CA","14000US06073003209"
2015,"2015",0,"Total",67250,8156.000000000001,"Census Tract 32.11, San Diego County, CA","14000US06073003211"
2015,"2015",0,"Total",77051,4563,"Census Tract 32.12, San Diego County, CA","14000US06073003212"
2015,"2015",0,"Total",86991,12452,"Census Tract 32.13, San Diego County, CA","14000US06073003213"
2015,"2015",0,"Total",64068,4462,"Census Tract 32.14, San Diego County, CA","14000US06073003214"
2015,"2015",0,"Total",26298,4333,"Census Tract 33.01, San Diego County, CA","14000US06073003301"
2015,"2015",0,"Total",33995,8226,"Census Tract 33.03, San Diego County, CA","14000US06073003303"
2015,"2015",0,"Total",33750,6468,"Census Tract 33.04, San Diego County, CA","14000US06073003304"
2015,"2015",0,"Total",21657,5028,"Census Tract 33.05, San Diego County, CA","14000US06073003305"
2015,"2015",0,"Total",52674,7467,"Census Tract 34.01, San Diego County, CA","14000US06073003401"
2015,"2015",0,"Total",36875,6270,"Census Tract 34.03, San Diego County, CA","14000US06073003403"
2015,"2015",0,"Total",36113,4580,"Census Tract 34.04, San Diego County, CA","14000US06073003404"
