Latitude,Longitude,year,T.Plastic,T.Takeout,T.Smoke,T.Fishing,T.bags,T.Dist.M,T.Adults,T.People,T.Kg,N.cleanupAttempts,T.StdEffort,stdzdTotalPlastic,stdzdtakeout,stdzdsmoke,stdzdBags,stdzdFish
32.6885,-117.0688,2018,2144,578,1545,0,151,1611,53,53,284.86,1,85436,0.02509480781,0.006765298001,0.01808371178,0.001767404841,0
32.6896,-117.1241,2017,9,9,0,0,0,11,161,161,23.61,11,1932,0.004658385093,0.004658385093,0,0,0
32.6896,-117.1241,2018,0,0,0,0,0,1,10,10,0.91,1,20,0,0,0,0,0
32.6896,-117.1241,2019,0,0,0,0,0,1,12,12,0.91,1,24,0,0,0,0,0
32.6898,-117.2055,2019,6,5,1,0,1,91,1,1,0.05,1,92,0.0652173913,0.05434782609,0.01086956522,0.01086956522,0
32.6904,-117.1219,2018,1,1,0,0,0,2,21,21,2.27,2,63,0.01587301587,0.01587301587,0,0,0
32.6904,-117.1219,2019,0,0,0,0,0,1,11,11,0.91,1,22,0,0,0,0,0
32.6919,-117.1285,2020,0,0,0,0,0,2031,1,1,13.61,1,2032,0,0,0,0,0
32.6919,-117.1241,2017,0,0,0,0,0,3,31,31,2.73,3,124,0,0,0,0,0
32.6919,-117.1182,2017,0,0,0,0,0,1,10,10,1.36,1,20,0,0,0,0,0
32.6921,-117.0511,2016,45,7,37,0,0,61,1,1,0.42,1,62,0.7258064516,0.1129032258,0.5967741935,0,0
32.6923,-117.1204,2018,0,0,0,0,0,2891,2,2,0,1,5784,0,0,0,0,0
32.693,-117.2536,2017,1,1,0,0,0,161,2550,2550,49854.34,1,413100,2.42E-06,2.42E-06,0,0,0
32.6934,-117.0629,2020,286,268,1,0,75,6441,4,4,285.76,1,25768,0.01109903757,0.01040049674,3.88E-05,0.002910586774,0
32.6958,-117.1506,2018,84,40,42,0,0,81,4,4,2.36,1,328,0.256097561,0.1219512195,0.1280487805,0,0
32.696,-117.1506,2020,68,39,24,4,8,2411,3,4,6.8,1,9648,0.007048092869,0.004042288557,0.002487562189,0.0008291873964,0.0004145936982
32.6961,-117.0515,2016,1687,1031,631,0,150,1611,16,16,165.56,1,25792,0.06540787841,0.03997363524,0.02446495037,0.005815756824,0
32.6962,-117.169,2016,0,0,0,0,0,1,2,2,3.08,1,4,0,0,0,0,0
32.6963,-117.0503,2016,66,54,2,0,16,3811,7,7,7.86,1,26684,0.002473392295,0.002023684605,7.50E-05,0.0005996102533,0
32.6964,-117.1508,2018,39,13,23,0,3,941,3,3,2.07,1,2826,0.01380042463,0.004600141543,0.00813871196,0.001061571125,0
32.6965,-117.1509,2018,55,32,20,0,0,261,2,2,1.08,1,524,0.1049618321,0.06106870229,0.03816793893,0,0
32.6965,-117.1508,2018,19,10,5,0,0,671,1,1,1.16,1,672,0.02827380952,0.01488095238,0.00744047619,0,0
32.6966,-117.1047,2019,8,8,0,0,0,124,4,4,1.16,4,500,0.016,0.016,0,0,0
32.6967,-117.1502,2016,1859,1196,294,77,156,11,200,200,104.18,1,2400,0.7745833333,0.4983333333,0.1225,0.065,0.03208333333
32.6968,-117.1815,2016,426,141,261,4,1,121,2,2,6.17,1,244,1.745901639,0.5778688525,1.069672131,0.004098360656,0.01639344262
32.6969,-117.1815,2016,119,69,36,0,0,18771,2,2,2.2,1,37544,0.003169614319,0.001837843597,0.0009588749201,0,0
32.697,-117.0498,2017,490,252,229,0,17,4831,12,19,60.78,1,91808,0.005337225514,0.002744858836,0.002494336006,0.0001851690484,0
32.6982,-117.1572,2020,363,132,216,0,10,1531,1,1,9.07,1,1532,0.2369451697,0.0861618799,0.1409921671,0.006527415144,0
32.6984,-117.003,2020,221,169,42,0,28,1611,2,4,2.72,1,6448,0.03427419355,0.02620967742,0.006513647643,0.004342431762,0
32.6985,-117.1702,2018,125,55,59,4,2,711,1,1,3.89,1,712,0.1755617978,0.07724719101,0.08286516854,0.002808988764,0.005617977528
32.6986,-117.0389,2017,59,53,6,0,21,1211,11,11,2.16,1,13332,0.004425442544,0.00397539754,0.0004500450045,0.001575157516,0
32.7006,-117.061,2018,96,36,50,0,3,1131,5,5,31.75,1,5660,0.01696113074,0.006360424028,0.008833922261,0.0005300353357,0
32.7007,-117.0605,2018,58,44,11,0,0,3861,2,2,0.9,1,7724,0.007509062662,0.005696530295,0.001424132574,0,0
32.7008,-117.0609,2018,0,0,0,0,0,211,1,1,0,1,212,0,0,0,0,0
32.7014,-117.0609,2018,100,84,2,0,2,5871,2,2,4.77,1,11744,0.008514986376,0.007152588556,0.0001702997275,0.0001702997275,0
32.7018,-117.1175,2018,0,0,0,0,0,1,1,1,9.07,1,2,0,0,0,0,0
32.7018,-117.1175,2020,6,2,1,0,0,1,15,15,0.06,1,30,0.2,0.06666666667,0.03333333333,0,0
32.7019,-117.1176,2018,1,1,0,0,0,27,36,36,31.78,27,1008,0.0009920634921,0.0009920634921,0,0,0
32.7019,-117.1176,2019,0,0,0,0,0,10,10,10,0,10,110,0,0,0,0,0
32.7019,-117.1176,2020,1,0,0,0,0,22,22,22,97.04,22,506,0.001976284585,0,0,0,0
32.7019,-117.1175,2018,0,0,0,0,0,3,12,12,10.89,3,48,0,0,0,0,0
32.7019,-117.1175,2020,48,21,13,0,0,169,9,9,1.11,9,1530,0.03137254902,0.0137254902,0.008496732026,0,0
32.702,-117.1175,2018,0,0,0,0,0,11,10,10,4.54,1,120,0,0,0,0,0
32.7055,-117.167,2020,102,62,40,0,5,1611,4,7,6.8,1,11284,0.009039347749,0.005494505495,0.003544842255,0.0004431052818,0
32.7059,-117.1675,2019,458,125,314,0,9,461,8,8,1.81,1,3696,0.1239177489,0.03382034632,0.08495670996,0.002435064935,0
