latitude,longitude,year,N.cleanupAttempts,total_plastic,total_plasticbags,totalFishingLine,total_takeout,total_smoke
32.7491,-117.2356,2020,2,7,0,0,1,6
32.7491,-117.1673,2019,2,2,0,0,2,0
32.7491,-117.1672,2018,1,1,0,0,1,0
32.7491,-117.1667,2018,3,5,0,0,5,0
32.7491,-117.166,2018,5,6,0,0,3,3
32.7492,-117.2531,2018,1,1,0,0,0,1
32.7492,-117.2529,2020,1,1,0,0,0,1
32.7492,-117.2528,2020,18,18,0,0,12,6
32.7492,-117.2511,2020,1,6,0,0,6,0
32.7492,-117.2355,2020,1,1,0,0,1,0
32.7492,-117.1667,2018,4,4,0,0,4,0
32.7493,-117.253,2018,1,1,0,0,1,0
32.7493,-117.2528,2020,9,9,0,0,8,1
32.7493,-117.2527,2020,2,2,0,0,0,2
32.7493,-117.2523,2020,1,3,0,0,1,2
32.7493,-117.2512,2020,1,11,0,0,8,1
32.7493,-117.2476,2020,15,43,2,0,16,20
32.7493,-117.2357,2020,1,9,0,0,8,1
32.7493,-117.1667,2018,5,8,0,0,8,0
32.7494,-117.2528,2020,1,1,0,0,1,0
32.7494,-117.2527,2020,15,15,0,0,11,4
32.7494,-117.2523,2020,2,6,0,0,4,1
32.7494,-117.2522,2016,1,14,1,0,9,4
32.7494,-117.2522,2020,1,1,0,0,1,0
32.7494,-117.2359,2020,1,3,0,0,2,1
32.7494,-117.1668,2018,1,1,0,0,1,0
32.7494,-117.1667,2018,14,20,3,0,11,6
32.7495,-117.2528,2020,15,16,0,0,15,1
32.7495,-117.2527,2020,5,5,0,0,4,1
32.7495,-117.2521,2020,2,95,9,0,51,35
32.7495,-117.2476,2020,9,174,2,0,112,55
32.7495,-117.2364,2020,1,1,0,0,0,1
32.7495,-117.236,2020,1,1,0,0,1,0
32.7495,-117.2358,2020,1,6,0,0,0,6
32.7495,-117.167,2018,23,31,0,0,14,17
32.7495,-117.167,2019,16,21,0,0,9,12
32.7495,-117.1669,2018,11,15,1,0,6,7
32.7495,-117.1668,2018,34,66,0,0,12,54
32.7496,-117.2529,2018,1,1,0,0,0,0
32.7496,-117.2528,2020,9,9,0,0,7,2
32.7496,-117.252,2020,1,1,0,0,1,0
32.7496,-117.2516,2020,1,3,0,0,3,0
32.7496,-117.2364,2020,1,1,0,0,0,1
32.7496,-117.2362,2020,1,2,0,0,0,2
32.7496,-117.2361,2020,1,1,0,0,0,1
32.7496,-117.236,2020,1,1,0,0,1,0
32.7496,-117.1672,2018,1,1,1,0,0,0
32.7496,-117.1671,2018,1,1,0,0,1,0
32.7496,-117.167,2018,5,6,0,0,1,5
32.7496,-117.167,2019,1,1,0,0,0,1
32.7496,-117.1663,2018,1,1,0,0,1,0
32.7496,-117.1662,2018,2,2,1,0,1,0
32.7496,-117.1661,2018,1,1,0,0,1,0
32.7497,-117.2531,2018,1,1,0,0,1,0
32.7497,-117.2529,2018,1,1,0,0,1,0
32.7497,-117.2528,2020,7,7,0,0,6,1
32.7497,-117.2361,2020,2,4,0,0,2,2
32.7498,-117.2528,2020,13,13,0,0,11,2
32.7498,-117.252,2020,1,1,0,0,0,1
32.7498,-117.2518,2020,1,1,0,0,0,1
32.7499,-117.2529,2018,1,1,0,0,1,0
32.7499,-117.2527,2020,15,15,0,0,10,5
32.75,-117.2528,2020,1,1,0,0,1,0
32.75,-117.2527,2020,6,6,0,0,4,2
32.75,-117.2521,2020,1,3,0,0,2,1
